,User,Project,Repository URL,About,License,Stars,Languages,nloc,avgNloc,avgCcn,avgToken,fCnt,difficulty
17,Pythagora-io,gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,Dev tool that writes scalable apps from scratch while the developer oversees the implementation,MIT license,6.1k,"['Python 99.1', 'Other 0.9']",4679,11.9,2.9,75.5,285,
18,ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",AGPL-3.0 license,23.7k,"['JavaScript 62.8', 'TypeScript 25.4', 'SCSS 10.3', 'HTML 0.4', 'Shell 0.3', 'EJS 0.3', 'Other 0.5']",138370,9.5,1.9,46,8607,
19,arc53,DocsGPT,https://github.com/arc53/DocsGPT,"GPT-powered chat for documentation, chat with your documents",MIT license,9.7k,"['Python 62.6', 'TypeScript 28.8', 'CSS 2.8', 'JavaScript 2.3', 'HTML 2.0', 'Shell 1.2', 'Dockerfile 0.3']",11431,8.7,3.7,65.7,1069,
20,ArduPilot,ardupilot,https://github.com/ArduPilot/ardupilot,"ArduPlane, ArduCopter, ArduRover, ArduSub source","cmake overhaul, cleaned up readme, added license",8.9k,"['C++ 62.9', 'Python 11.3', 'C 10.8', 'Objective-C 9.0', 'Lua 3.1', 'HTML 1.1', 'Other 1.8']",512971,14.5,3.7,101,25592,
21,rust-lang,rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,LICENSES,86k,"['Rust 96.8', 'Shell 0.5', 'JavaScript 0.5', 'Fluent 0.4', 'HTML 0.3', 'Python 0.3', 'Other 1.2']",1775778,10.4,1.8,58.7,85419,
22,Homebrew,brew,https://github.com/Homebrew/brew,🍺 The missing package manager for macOS (or Linux),BSD-2-Clause license,37.3k,"['Ruby 90.4', 'Shell 6.2', 'Roff 2.5', 'HTML 0.6', 'Swift 0.1', 'Rich Text Format 0.1', 'Other 0.1']",131050,8.5,2.1,43.2,10609,
23,SerenityOS,serenity,https://github.com/SerenityOS/serenity,The Serenity Operating System 🐞,BSD-2-Clause license,26.1k,"['C++ 88.6', 'JavaScript 5.1', 'HTML 2.4', 'Shell 1.0', 'C 0.8', 'CMake 0.8', 'Other 1.3']",831074,10.2,2.5,79.8,65600,
24,JabRef,jabref,https://github.com/JabRef/jabref,Graphical Java application for managing BibTeX and biblatex (.bib) databases,licenses,3.1k,"['Java 90.8', 'TeX 7.0', 'XSLT 1.5', 'CSS 0.5', 'Shell 0.1', 'Python 0.1']",169552,8.3,1.8,63,14617,
25,commons-app,apps-android-commons,https://github.com/commons-app/apps-android-commons,The Wikimedia Commons Android app allows users to upload pictures from their Android phone/tablet to Wikimedia Commons,update-license-info,875,"['Java 62.3', 'Kotlin 37.3', 'Python 0.3', 'PHP 0.1', 'Shell 0.0', 'Jinja 0.0']",73434,7.8,1.5,50.1,6164,
26,xwiki,xwiki-platform,https://github.com/xwiki/xwiki-platform,The XWiki platform,LGPL-2.1 license,870,"['Java 91.0', 'JavaScript 5.7', 'AspectJ 0.8', 'HTML 0.7', 'Vue 0.6', 'CSS 0.3', 'Other 0.9']",510154,9.5,1.8,68.7,37175,
27,authorjapps,zerocode,https://github.com/authorjapps/zerocode,"A community-developed, free, opensource, automated testing framework for microservices API, Kafka and load testing built using JUnit core runners. Zerocode Open Source enables you to create, change, orchestrate and maintain your automated test scenarios declaratively with absolute ease",Apache-2.0 license,787,['Java 100.0'],18646,7.9,1.5,53.3,1497,
28,sirixdb,sirix,https://github.com/sirixdb/sirix,"SirixDB is an embeddable, temporal, evolutionary database system, which uses an append-only approach to store immutable revisions. It keeps the full history of each resource. Every commit stores a space-efficient snapshot through structural sharing. It is log-structured and never overwrites data. SirixDB uses a novel page-level versioning approach.",BSD-3-Clause license,863,"['Java 93.4', 'Kotlin 6.2', 'XQuery 0.2', 'XSLT 0.1', 'HTML 0.1', 'Dockerfile 0.0']",117448,9.8,2.1,70.3,9030,
29,knaxus,problem-solving-javascript,https://github.com/knaxus/problem-solving-javascript,🔥 Crack you JS interviews ⚡ Collection of most common JS Interview questions with Unit Tests 🚀,MIT license,1.3k,"['JavaScript 99.9', 'Shell 0.1']",5532,6.6,1.6,43.2,866,
30,larymak,Python-project-Scripts,https://github.com/larymak/Python-project-Scripts,This repositories contains a list of python scripts projects from beginner level advancing slowly. More code snippets to be added soon. feel free to clone this repo,GPL-3.0 license,882,"['Jupyter Notebook 82.1', 'HTML 8.9', 'Python 4.3', 'CSS 1.6', 'SCSS 1.6', 'JavaScript 0.8', 'Other 0.7']",36654,6.5,2.7,66.7,4626,
31,nasa,earthdata-search,https://github.com/nasa/earthdata-search,"Earthdata Search is a web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",View license,706,"['JavaScript 95.0', 'SCSS 4.7', 'Other 0.3']",147932,10,1.2,43.6,11081,
32,nasa,fprime,https://github.com/nasa/fprime,F' - A flight software and embedded systems framework,Apache-2.0 license,9.6k,"['C++ 65.6', 'Python 22.9', 'CMake 6.8', 'Fortran 2.8', 'C 1.6', 'Shell 0.3']",2,1,18,1,6,
33,nasa,osal,https://github.com/nasa/osal,The Core Flight System (cFS) Operating System Abstraction Layer (OSAL),Apache-2.0 license,481,"['C 97.3', 'CMake 2.3', 'Perl 0.4']",35158,13.6,2.1,83.2,2187,
34,opencv,opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,Apache-2.0 license,71.6k,"['C++ 87.1', 'C 3.3', 'Python 2.7', 'CMake 2.2', 'Java 1.7', 'Objective-C++ 0.9', 'Other 2.1']",1423535,14.1,3.1,117.7,76929,80
35,NeoGeographyToolkit,StereoPipeline,https://github.com/NeoGeographyToolkit/StereoPipeline,The NASA Ames Stereo Pipeline is a suite of automated geodesy & stereogrammetry tools designed for processing planetary imagery captured from orbiting and landed robotic explorers on other planets.,Apache-2.0 license,436,"['C++ 78.6', 'Python 17.3', 'M4 1.5', 'CMake 0.9', 'XSLT 0.6', 'MATLAB 0.4', 'Other 0.7']",110148,17.6,3.8,162,4992,
36,nasa,cumulus,https://github.com/nasa/cumulus,Cumulus Framework + Cumulus API,View license,239,"['JavaScript 80.7', 'TypeScript 10.9', 'HCL 6.6', 'Shell 0.8', 'HTML 0.5', 'Python 0.3', 'Other 0.2']",130051,9.7,1.3,53.1,9056,
37,nasa,hybridq,https://github.com/nasa/hybridq,"HybridQ is a highly extensible platform designed to provide a common framework to integrate multiple state-of-the-art techniques to simulate large scale quantum circuits on a variety of hardware. HybridQ provides tools to manipulate, develop, and extend noiseless and noisy circuits for different hardware architectures. HybridQ also supports larg…",Apache-2.0 license,49,"['Python 93.5', 'C++ 4.2', 'Shell 1.5', 'Other 0.8']",13355,21.9,5.5,144,482,
38,nasa,astrobee,https://github.com/nasa/astrobee,NASA Astrobee Robot Software,Apache-2.0 license,855,"['C++ 80.4', 'Python 9.2', 'CMake 5.9', 'Shell 2.1', 'C 1.4', 'Lua 0.6', 'Other 0.4']",131408,17.2,3.7,133.5,6091,
39,larymak,Python-project-Scripts,https://github.com/larymak/Python-project-Scripts,This repositories contains a list of python scripts projects from beginner level advancing slowly. More code snippets to be added soon. feel free to clone this repo,GPL-3.0 license,882,"['Jupyter Notebook 82.1', 'HTML 8.9', 'Python 4.3', 'CSS 1.6', 'SCSS 1.6', 'JavaScript 0.8', 'Other 0.7']",36654,6.5,2.7,66.7,4626,
40,Akash-goyal-github,Inventory-Management-System,https://github.com/Akash-goyal-github/Inventory-Management-System,"⭐Inventory Management System⭐demonstrates the CRUD (Create, Read, Update and Delete) operations which is done using Tech Stack ⭐Angular, Spring Boot and Mysql. 💯 💥. On the landing page of the application displaying all the records where user can insert/create the Product, update the Product, delete the Product. 💯 💥",License not specified,21,"['TypeScript 43.1', 'Java 29.4', 'HTML 14.8', 'CSS 11.1', 'JavaScript 1.6']",1738,5.5,1.2,30.7,154,
41,dewanakl,Kamu,https://github.com/dewanakl/Kamu,"Kamu adalah PHP framework yang sangat sederhana. Saking sederhananya, serasa di localhost!!.",License,6,"['PHP 87.8', 'Hack 8.9', 'JavaScript 2.8', 'CSS 0.5']",335,3.6,1.2,13.2,52,
42,QingXia-Ela,vue-mini-player,https://github.com/QingXia-Ela/vue-mini-player,A simple mini player powered by petite-vue,MIT license,14,"['HTML 36.3', 'TypeScript 26.3', 'CSS 26.1', 'Less 9.2', 'JavaScript 2.1']",551,6.1,2.1,41.4,73,
43,nasa,Open-Source-Catalog,https://github.com/nasa/Open-Source-Catalog,Contains the NASA open source software catalog for automatic deployment to code.nasa.gov,License not specified,261,"['JavaScript 77.5', 'Python 22.5']",55,5.6,1.7,25.9,7,
44,joejulian,xterm,https://github.com/joejulian/xterm,Source for the latest xterm,License not specified,30,"['C 93.0', 'Perl 3.1', 'Shell 2.8', 'Other 1.1']",51293,29.5,7.8,185.4,1195,100
45,XQuartz,xorg-server,https://github.com/XQuartz/xorg-server,XQuartz development branches of https://gitlab.freedesktop.org/xorg/xserver,License not specified,267,"['C 96.4', 'Roff 1.1', 'Objective-C 1.0', 'Meson 0.8', 'Shell 0.2', 'Python 0.1', 'Other 0.4']",344354,23.9,5.4,150.1,11790,100
46,polybar,polybar,https://github.com/polybar/polybar,A fast and easy-to-use status bar,MIT license,13k,"['C++ 95.1', 'CMake 3.6', 'Shell 1.1', 'Other 0.2']",24192,9.8,2.7,78.1,1713,50
47,francma,wob,https://github.com/francma/wob,A lightweight overlay volume/backlight/progress/anything bar for Wayland.,ISC license,741,"['C 94.6', 'Meson 5.4']",1534,25.2,4.8,168.8,50,50
48,alex-courtis,way-displays,https://github.com/alex-courtis/way-displays,way-displays: Auto Manage Your Wayland Displays,MIT license,161,"['C 84.8', 'C++ 10.8', 'Roff 2.1', 'Makefile 1.6', 'Nix 0.7']",8758,13.2,3,95.3,564,30
49,Hummer12007,brightnessctl,https://github.com/Hummer12007/brightnessctl.git,A program to read and control device brightness,View license,663,"['C 83.1', 'Roff 13.0', 'Makefile 3.9']",632,22.4,6.6,132.2,24,20
50,haikarainen,light,https://github.com/haikarainen/light,GNU/Linux application to control backlights,"Rename license file, GNU licenses are commonly named COPYING",1.2k,"['C 92.9', 'Roff 3.3', 'Makefile 2.2', 'M4 1.5', 'Shell 0.1']",1415,17.5,3.2,87.9,70,20
51,sr,dwm,https://github.com/sr/dwm,mirror of dwm http://hg.suckless.org/dwm,MIT license,174,['C 100.0'],1838,16,5.9,135.9,91,40
